nohup: ignoring input
{'没关系': 0, '毕业院校': 1, '主角': 2, '占地面积': 3, '成立日期': 4, '主题曲': 5, '歌手': 6, '创始人': 7, '简称': 8, '母亲': 9, '人口数量': 10, '嘉宾': 11, '代言人': 12, '校长': 13, '官方语言': 14, '邮政编码': 15, '父亲': 16, '所属专辑': 17, '主持人': 18, '祖籍': 19, '面积': 20, '票房': 21, '国籍': 22, '作者': 23, '首都': 24, '所在城市': 25, '作曲': 26, '导演': 27, '饰演': 28, '注册资本': 29, '朝代': 30, '专业代码': 31, '海拔': 32, '制片人': 33, '气候': 34, '编剧': 35, '修业年限': 36, '作词': 37, '董事长': 38, '妻子': 39, '丈夫': 40, '获奖': 41, '主演': 42, '号': 43, '总部地点': 44, '改编自': 45, '上映时间': 46, '出品公司': 47, '配音': 48}
Some weights of the model checkpoint at ./model_hub/chinese-bert-wwm-ext/ were not used when initializing BertModel: ['cls.predictions.transform.dense.weight', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
/root/miniconda3/lib/python3.8/site-packages/transformers/optimization.py:391: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
【train】1/5 136/66465 loss:3.2693674564361572
【train】1/5 137/66465 loss:3.365778923034668
【train】1/5 138/66465 loss:3.2426528930664062
【train】1/5 139/66465 loss:3.4116299152374268
【train】1/5 140/66465 loss:3.2646541595458984
【train】1/5 141/66465 loss:3.416208505630493
【train】1/5 142/66465 loss:3.195855140686035
【train】1/5 143/66465 loss:3.201075553894043
【train】1/5 144/66465 loss:3.3201847076416016
【train】1/5 145/66465 loss:3.242201089859009
【train】1/5 146/66465 loss:3.335554361343384
【train】1/5 147/66465 loss:3.021108865737915
【train】1/5 148/66465 loss:3.294020652770996
【train】1/5 149/66465 loss:3.0231332778930664
【train】1/5 150/66465 loss:3.1336257457733154
【train】1/5 151/66465 loss:3.2201344966888428
【train】1/5 152/66465 loss:3.1683664321899414
【train】1/5 153/66465 loss:3.125246047973633
【train】1/5 154/66465 loss:3.0850648880004883
【train】1/5 155/66465 loss:3.219175338745117
【train】1/5 156/66465 loss:3.2106847763061523
【train】1/5 157/66465 loss:3.300555467605591
【train】1/5 158/66465 loss:3.159214973449707
【train】1/5 159/66465 loss:3.1771299839019775
【train】1/5 160/66465 loss:3.2411632537841797
【train】1/5 161/66465 loss:3.279632568359375
【train】1/5 162/66465 loss:3.134901762008667
【train】1/5 163/66465 loss:3.0044057369232178
【train】1/5 164/66465 loss:3.297043561935425
【train】1/5 165/66465 loss:2.988604784011841
【train】1/5 166/66465 loss:3.407747983932495
【train】1/5 167/66465 loss:3.145038604736328
【train】1/5 168/66465 loss:2.926068067550659
【train】1/5 169/66465 loss:3.12772274017334
【train】1/5 170/66465 loss:3.331968307495117
【train】1/5 171/66465 loss:2.84424090385437
【train】1/5 172/66465 loss:3.4184226989746094
【train】1/5 173/66465 loss:2.9219322204589844
【train】1/5 174/66465 loss:2.818817138671875
【train】1/5 175/66465 loss:2.99558162689209
【train】1/5 176/66465 loss:3.049239158630371
【train】1/5 177/66465 loss:3.061565399169922
【train】1/5 178/66465 loss:3.5574686527252197
【train】1/5 179/66465 loss:3.0558865070343018
【train】1/5 180/66465 loss:3.2970259189605713
【train】1/5 181/66465 loss:3.0224504470825195
【train】1/5 182/66465 loss:2.750945806503296
【train】1/5 183/66465 loss:2.8319480419158936
【train】1/5 184/66465 loss:3.0069961547851562
【train】1/5 185/66465 loss:2.7661876678466797
【train】1/5 186/66465 loss:3.2447288036346436
【train】1/5 187/66465 loss:3.0717649459838867
【train】1/5 188/66465 loss:2.5606343746185303
【train】1/5 189/66465 loss:2.532953977584839
【train】1/5 190/66465 loss:3.0153512954711914
【train】1/5 191/66465 loss:2.772991895675659
【train】1/5 192/66465 loss:2.699583053588867
【train】1/5 193/66465 loss:2.9725215435028076
【train】1/5 194/66465 loss:2.718531847000122
【train】1/5 195/66465 loss:2.5918729305267334
【train】1/5 196/66465 loss:2.804776430130005
【train】1/5 197/66465 loss:2.8262388706207275
【train】1/5 198/66465 loss:3.1828877925872803
【train】1/5 199/66465 loss:2.786181688308716
【train】1/5 200/66465 loss:2.707125425338745
【train】1/5 201/66465 loss:2.871950149536133
【train】1/5 202/66465 loss:2.672518730163574
【train】1/5 203/66465 loss:2.6959969997406006
【train】1/5 204/66465 loss:2.7026236057281494
【train】1/5 205/66465 loss:2.9044246673583984
【train】1/5 206/66465 loss:2.6214025020599365
【train】1/5 207/66465 loss:3.142150640487671
【train】1/5 208/66465 loss:2.9030344486236572
【train】1/5 209/66465 loss:2.557565212249756
【train】1/5 210/66465 loss:2.977597236633301
【train】1/5 211/66465 loss:3.0091540813446045
【train】1/5 212/66465 loss:2.9428813457489014
【train】1/5 213/66465 loss:2.94195294380188
【train】1/5 214/66465 loss:2.7306411266326904
【train】1/5 215/66465 loss:2.771923303604126
【train】1/5 216/66465 loss:2.5687801837921143
【train】1/5 217/66465 loss:3.1441142559051514
【train】1/5 218/66465 loss:2.9606988430023193
【train】1/5 219/66465 loss:2.4496562480926514
【train】1/5 220/66465 loss:2.738053321838379
【train】1/5 221/66465 loss:2.545591354370117
【train】1/5 222/66465 loss:2.8312511444091797
【train】1/5 223/66465 loss:2.708153486251831
【train】1/5 224/66465 loss:2.967242479324341
【train】1/5 225/66465 loss:2.5555083751678467
【train】1/5 226/66465 loss:2.587690591812134
【train】1/5 227/66465 loss:2.6025760173797607
【train】1/5 228/66465 loss:2.7220144271850586
【train】1/5 229/66465 loss:2.4441421031951904
【train】1/5 230/66465 loss:2.7647974491119385
【train】1/5 231/66465 loss:2.758909225463867
【train】1/5 232/66465 loss:2.477341890335083
【train】1/5 233/66465 loss:2.9971141815185547
【train】1/5 234/66465 loss:2.6148412227630615
【train】1/5 235/66465 loss:2.330687999725342
【train】1/5 236/66465 loss:2.223785638809204
【train】1/5 237/66465 loss:2.0732128620147705
【train】1/5 238/66465 loss:2.3849143981933594
【train】1/5 239/66465 loss:2.6697282791137695
【train】1/5 240/66465 loss:2.412388324737549
【train】1/5 241/66465 loss:2.8070485591888428
【train】1/5 242/66465 loss:2.636592149734497
【train】1/5 243/66465 loss:2.5503990650177
【train】1/5 244/66465 loss:2.452315330505371
【train】1/5 245/66465 loss:2.2836883068084717
【train】1/5 246/66465 loss:1.9973310232162476
【train】1/5 247/66465 loss:2.4364097118377686
【train】1/5 248/66465 loss:2.5515003204345703
【train】1/5 249/66465 loss:2.07002854347229
【train】1/5 250/66465 loss:1.954118251800537
【train】1/5 251/66465 loss:2.1722497940063477
【train】1/5 252/66465 loss:2.559900999069214
【train】1/5 253/66465 loss:2.711507797241211
【train】1/5 254/66465 loss:2.4280905723571777
【train】1/5 255/66465 loss:2.4843556880950928
【train】1/5 256/66465 loss:2.3208138942718506
【train】1/5 257/66465 loss:2.684842348098755
【train】1/5 258/66465 loss:2.30242657661438
【train】1/5 259/66465 loss:2.4134933948516846
【train】1/5 260/66465 loss:2.871363401412964
【train】1/5 261/66465 loss:2.1260147094726562
【train】1/5 262/66465 loss:2.014878511428833
【train】1/5 263/66465 loss:2.1881330013275146
【train】1/5 264/66465 loss:2.0008294582366943
【train】1/5 265/66465 loss:2.6430106163024902
【train】1/5 266/66465 loss:1.9146203994750977
【train】1/5 267/66465 loss:2.29325795173645
【train】1/5 268/66465 loss:2.464431047439575
【train】1/5 269/66465 loss:2.2689366340637207
【train】1/5 270/66465 loss:2.0534403324127197
【train】1/5 271/66465 loss:2.316615343093872
【train】1/5 272/66465 loss:2.3603620529174805
【train】1/5 273/66465 loss:2.0424513816833496
【train】1/5 274/66465 loss:2.1233842372894287
【train】1/5 275/66465 loss:2.513549327850342
【train】1/5 276/66465 loss:2.6158180236816406
【train】1/5 277/66465 loss:2.2879574298858643
【train】1/5 278/66465 loss:2.4244558811187744
【train】1/5 279/66465 loss:2.316519260406494
【train】1/5 280/66465 loss:2.6415765285491943
【train】1/5 281/66465 loss:2.2257730960845947
【train】1/5 282/66465 loss:2.4323384761810303
【train】1/5 283/66465 loss:2.265638589859009
【train】1/5 284/66465 loss:2.0834133625030518
【train】1/5 285/66465 loss:2.4368340969085693
【train】1/5 286/66465 loss:2.209851026535034
【train】1/5 287/66465 loss:2.467839241027832
【train】1/5 288/66465 loss:2.468761682510376
【train】1/5 289/66465 loss:2.374528169631958
【train】1/5 290/66465 loss:2.1201577186584473
【train】1/5 291/66465 loss:2.12390398979187
【train】1/5 292/66465 loss:2.2779173851013184
【train】1/5 293/66465 loss:2.1912472248077393
【train】1/5 294/66465 loss:2.0553789138793945
【train】1/5 295/66465 loss:2.3003194332122803
【train】1/5 296/66465 loss:2.25184965133667
【train】1/5 297/66465 loss:2.2515475749969482
【train】1/5 298/66465 loss:2.031916856765747
【train】1/5 299/66465 loss:2.2319223880767822
【train】1/5 300/66465 loss:1.9738110303878784
【train】1/5 301/66465 loss:2.0965309143066406
【train】1/5 302/66465 loss:1.7652640342712402
【train】1/5 303/66465 loss:2.114809989929199
【train】1/5 304/66465 loss:2.191844940185547
【train】1/5 305/66465 loss:1.9652104377746582
【train】1/5 306/66465 loss:2.167386770248413
【train】1/5 307/66465 loss:1.893454670906067
【train】1/5 308/66465 loss:2.333646059036255
【train】1/5 309/66465 loss:1.7604084014892578
【train】1/5 310/66465 loss:2.3776562213897705
【train】1/5 311/66465 loss:2.0061917304992676
【train】1/5 312/66465 loss:2.1949238777160645
【train】1/5 313/66465 loss:1.9692596197128296
【train】1/5 314/66465 loss:2.109936237335205
【train】1/5 315/66465 loss:2.1370489597320557
【train】1/5 316/66465 loss:1.9300154447555542
【train】1/5 317/66465 loss:2.164700508117676
【train】1/5 318/66465 loss:1.78950035572052
【train】1/5 319/66465 loss:1.540289282798767
【train】1/5 320/66465 loss:2.0083863735198975
【train】1/5 321/66465 loss:2.2096121311187744
【train】1/5 322/66465 loss:1.932991862297058
【train】1/5 323/66465 loss:2.057837724685669
【train】1/5 324/66465 loss:1.7624826431274414
【train】1/5 325/66465 loss:1.8868809938430786
【train】1/5 326/66465 loss:1.878121256828308
【train】1/5 327/66465 loss:2.3311054706573486
【train】1/5 328/66465 loss:2.0597622394561768
【train】1/5 329/66465 loss:2.4745442867279053
【train】1/5 330/66465 loss:1.5261660814285278
【train】1/5 331/66465 loss:1.9394651651382446
【train】1/5 332/66465 loss:1.8300490379333496
【train】1/5 333/66465 loss:2.066129446029663
【train】1/5 334/66465 loss:1.922559142112732
【train】1/5 335/66465 loss:2.06207537651062
【train】1/5 336/66465 loss:2.012575387954712
【train】1/5 337/66465 loss:2.052644968032837
【train】1/5 338/66465 loss:2.095825672149658
【train】1/5 339/66465 loss:1.4321961402893066
【train】1/5 340/66465 loss:1.7802952527999878
【train】1/5 341/66465 loss:1.6535820960998535
【train】1/5 342/66465 loss:1.9274295568466187
【train】1/5 343/66465 loss:1.8275431394577026
【train】1/5 344/66465 loss:1.9249773025512695
【train】1/5 345/66465 loss:1.7590678930282593
【train】1/5 346/66465 loss:1.7464141845703125
【train】1/5 347/66465 loss:1.6545019149780273
【train】1/5 348/66465 loss:1.6183825731277466
【train】1/5 349/66465 loss:1.7338905334472656
【train】1/5 350/66465 loss:1.7886091470718384
【train】1/5 351/66465 loss:1.9006205797195435
【train】1/5 352/66465 loss:1.8273578882217407
【train】1/5 353/66465 loss:1.6432126760482788
【train】1/5 354/66465 loss:2.1858184337615967
【train】1/5 355/66465 loss:2.2419517040252686
【train】1/5 356/66465 loss:2.112515926361084
【train】1/5 357/66465 loss:1.8044300079345703
【train】1/5 358/66465 loss:1.5767388343811035
【train】1/5 359/66465 loss:1.4090365171432495
【train】1/5 360/66465 loss:1.2659600973129272
【train】1/5 361/66465 loss:1.912742257118225
【train】1/5 362/66465 loss:1.803369402885437
【train】1/5 363/66465 loss:2.012960910797119
【train】1/5 364/66465 loss:1.4830297231674194
【train】1/5 365/66465 loss:1.7635283470153809
【train】1/5 366/66465 loss:1.4880375862121582
【train】1/5 367/66465 loss:1.912021279335022
【train】1/5 368/66465 loss:1.7535735368728638
【train】1/5 369/66465 loss:1.6398539543151855
【train】1/5 370/66465 loss:1.7732867002487183
【train】1/5 371/66465 loss:1.7424157857894897
【train】1/5 372/66465 loss:1.7078323364257812
【train】1/5 373/66465 loss:1.3323231935501099
【train】1/5 374/66465 loss:1.4174143075942993
【train】1/5 375/66465 loss:1.581957221031189
【train】1/5 376/66465 loss:1.6921467781066895
【train】1/5 377/66465 loss:1.472921371459961
【train】1/5 378/66465 loss:1.8120323419570923
【train】1/5 379/66465 loss:1.8846898078918457
【train】1/5 380/66465 loss:2.05798602104187
