nohup: ignoring input
{'性能故障': 0, '部件故障': 1, '检测工具': 2, '组成': 3, '没关系': 4}
Some weights of the model checkpoint at ./model_hub/chinese-bert-wwm-ext/ were not used when initializing BertModel: ['cls.predictions.transform.dense.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
/root/miniconda3/lib/python3.8/site-packages/transformers/optimization.py:391: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
【train】1/5 214/3340 loss:0.6819576621055603
【train】1/5 215/3340 loss:1.1010711193084717
【train】1/5 216/3340 loss:0.7165517210960388
【train】1/5 217/3340 loss:1.0170600414276123
【train】1/5 218/3340 loss:0.7831824421882629
【train】1/5 219/3340 loss:1.0583887100219727
【train】1/5 220/3340 loss:0.9012367725372314
【train】1/5 221/3340 loss:0.4995171129703522
【train】1/5 222/3340 loss:1.0589494705200195
【train】1/5 223/3340 loss:1.7524091005325317
【train】1/5 224/3340 loss:0.6122521758079529
【train】1/5 225/3340 loss:1.4155951738357544
【train】1/5 226/3340 loss:0.5231097340583801
【train】1/5 227/3340 loss:0.9660044312477112
【train】1/5 228/3340 loss:0.8469960689544678
【train】1/5 229/3340 loss:0.7917416095733643
【train】1/5 230/3340 loss:0.8854081034660339
【train】1/5 231/3340 loss:0.7274635434150696
【train】1/5 232/3340 loss:0.7543840408325195
【train】1/5 233/3340 loss:0.977644681930542
【train】1/5 234/3340 loss:0.774924635887146
【train】1/5 235/3340 loss:1.217907428741455
【train】1/5 236/3340 loss:0.471260666847229
【train】1/5 237/3340 loss:0.5769924521446228
【train】1/5 238/3340 loss:0.9696645736694336
【train】1/5 239/3340 loss:1.5742329359054565
【train】1/5 240/3340 loss:0.7472160458564758
【train】1/5 241/3340 loss:1.0865929126739502
【train】1/5 242/3340 loss:1.2324820756912231
【train】1/5 243/3340 loss:0.7691596746444702
【train】1/5 244/3340 loss:0.6544376015663147
【train】1/5 245/3340 loss:0.9190078377723694
【train】1/5 246/3340 loss:0.7673461437225342
【train】1/5 247/3340 loss:0.4152311384677887
【train】1/5 248/3340 loss:0.668919026851654
【train】1/5 249/3340 loss:0.5844901204109192
【train】1/5 250/3340 loss:1.0457686185836792
【train】1/5 251/3340 loss:0.8095152378082275
【train】1/5 252/3340 loss:0.6954010725021362
【train】1/5 253/3340 loss:0.5115395784378052
【train】1/5 254/3340 loss:0.935790479183197
【train】1/5 255/3340 loss:0.6320832371711731
【train】1/5 256/3340 loss:0.8851721882820129
【train】1/5 257/3340 loss:1.3256577253341675
【train】1/5 258/3340 loss:0.6241011023521423
【train】1/5 259/3340 loss:0.8457968831062317
【train】1/5 260/3340 loss:1.422788143157959
【train】1/5 261/3340 loss:0.6331343054771423
【train】1/5 262/3340 loss:1.0433071851730347
【train】1/5 263/3340 loss:0.9945294857025146
【train】1/5 264/3340 loss:0.9426326155662537
【train】1/5 265/3340 loss:0.6418696045875549
【train】1/5 266/3340 loss:0.87799471616745
【train】1/5 267/3340 loss:0.5095930099487305
【train】1/5 268/3340 loss:1.0502338409423828
【train】1/5 269/3340 loss:1.3366228342056274
【train】1/5 270/3340 loss:0.7597196698188782
【train】1/5 271/3340 loss:1.1009559631347656
【train】1/5 272/3340 loss:0.7935705780982971
【train】1/5 273/3340 loss:1.2008875608444214
【train】1/5 274/3340 loss:0.6937092542648315
【train】1/5 275/3340 loss:0.9817401766777039
【train】1/5 276/3340 loss:0.902935802936554
【train】1/5 277/3340 loss:1.014485478401184
【train】1/5 278/3340 loss:0.9498075842857361
【train】1/5 279/3340 loss:0.7741341590881348
【train】1/5 280/3340 loss:0.6346001625061035
【train】1/5 281/3340 loss:0.8966270089149475
【train】1/5 282/3340 loss:0.5683580636978149
【train】1/5 283/3340 loss:0.857337474822998
【train】1/5 284/3340 loss:0.5496993064880371
【train】1/5 285/3340 loss:0.9884615540504456
【train】1/5 286/3340 loss:0.6361038088798523
【train】1/5 287/3340 loss:0.525195837020874
【train】1/5 288/3340 loss:0.7619521021842957
【train】1/5 289/3340 loss:0.5372848510742188
【train】1/5 290/3340 loss:1.2020500898361206
【train】1/5 291/3340 loss:0.3882252871990204
【train】1/5 292/3340 loss:0.76875901222229
【train】1/5 293/3340 loss:1.3091835975646973
【train】1/5 294/3340 loss:1.6280847787857056
【train】1/5 295/3340 loss:0.6442505717277527
【train】1/5 296/3340 loss:0.4016270339488983
【train】1/5 297/3340 loss:0.3421100974082947
【train】1/5 298/3340 loss:0.5211775302886963
【train】1/5 299/3340 loss:0.7585418820381165
【train】1/5 300/3340 loss:0.5509649515151978
【train】1/5 301/3340 loss:1.3899226188659668
【train】1/5 302/3340 loss:0.8509683609008789
【train】1/5 303/3340 loss:1.2027175426483154
【train】1/5 304/3340 loss:0.6209836006164551
【train】1/5 305/3340 loss:0.7367713451385498
【train】1/5 306/3340 loss:0.7697283625602722
【train】1/5 307/3340 loss:0.4465053379535675
【train】1/5 308/3340 loss:0.6235203146934509
【train】1/5 309/3340 loss:0.9195767045021057
【train】1/5 310/3340 loss:1.1393264532089233
【train】1/5 311/3340 loss:0.8494495749473572
【train】1/5 312/3340 loss:1.1796175241470337
【train】1/5 313/3340 loss:0.8495429158210754
【train】1/5 314/3340 loss:0.8532630801200867
【train】1/5 315/3340 loss:0.6399157047271729
【train】1/5 316/3340 loss:1.0851662158966064
【train】1/5 317/3340 loss:0.7148950099945068
【train】1/5 318/3340 loss:0.9845190048217773
【train】1/5 319/3340 loss:0.5253515839576721
【train】1/5 320/3340 loss:0.9975927472114563
【train】1/5 321/3340 loss:1.1671758890151978
【train】1/5 322/3340 loss:0.5386804938316345
【train】1/5 323/3340 loss:0.8205958008766174
【train】1/5 324/3340 loss:0.9773468375205994
【train】1/5 325/3340 loss:1.4211989641189575
【train】1/5 326/3340 loss:1.315636396408081
